country,listed_in,country_share,global_share,gap,Cluster
Brazil,Sports Movies,0.008695652173913044,0.011156015828913025,-0.0024603636549999815,0
Brazil,Stand-Up Comedy,0.0391304347826087,0.014481771491117285,0.024648663291491416,0
Brazil,Stand-Up Comedy & Talk Shows,0.004347826086956522,0.0023574976846004883,0.0019903284023560334,0
Brazil,TV Comedies,0.02608695652173913,0.026521848951755495,-0.0004348924300163655,0
Brazil,TV Dramas,0.04782608695652174,0.03586764334427886,0.01195844361224288,0
Brazil,TV Horror,0.008695652173913044,0.0036204428727793212,0.005075209301133723,0
Brazil,TV Mysteries,0.021739130434782608,0.0047570935421402715,0.016982036892642337,0
Brazil,TV Sci-Fi & Fantasy,0.008695652173913044,0.004251915466868738,0.004443736707044305,0
Brazil,Thrillers,0.013043478260869565,0.033931127389071315,-0.02088764912820175,0
Bulgaria,Action & Adventure,0.2777777777777778,0.049760040414246025,0.22801773736353176,0
Bulgaria,Children & Family Movies,0.05555555555555555,0.035572956133703794,0.01998259942185176,0
Bulgaria,Dramas,0.1111111111111111,0.1346720552328029,-0.023560944121691796,0
Bulgaria,Horror Movies,0.05555555555555555,0.01928096320619685,0.0362745923493587,0
Bulgaria,Independent Movies,0.05555555555555555,0.043782099856866215,0.011773455698689338,0
Bulgaria,International Movies,0.2222222222222222,0.14772248884398417,0.07449973337823804,0
Bulgaria,Sci-Fi & Fantasy,0.05555555555555555,0.015997305716931885,0.03955824983862367,0
Bulgaria,Thrillers,0.16666666666666666,0.033931127389071315,0.13273553927759535,0
Burkina Faso,Dramas,0.3333333333333333,0.1346720552328029,0.19866127810053041,0
Burkina Faso,Independent Movies,0.3333333333333333,0.043782099856866215,0.2895512334764671,0
Burkina Faso,International Movies,0.3333333333333333,0.14772248884398417,0.18561084448934914,0
Cambodia,Action & Adventure,0.2,0.049760040414246025,0.15023995958575398,0
Cambodia,Children & Family Movies,0.1,0.035572956133703794,0.06442704386629622,0
Cambodia,Comedies,0.2,0.08339648059274228,0.11660351940725773,0
Cambodia,Dramas,0.2,0.1346720552328029,0.06532794476719711,0
Cambodia,International Movies,0.2,0.14772248884398417,0.05227751115601584,0
Cambodia,Sci-Fi & Fantasy,0.1,0.015997305716931885,0.08400269428306811,0
"Cambodia,",Dramas,0.5,0.1346720552328029,0.3653279447671971,0
"Cambodia,",International Movies,0.5,0.14772248884398417,0.3522775111560158,0
Cameroon,Dramas,0.5,0.1346720552328029,0.3653279447671971,0
Cameroon,International Movies,0.5,0.14772248884398417,0.3522775111560158,0
Canada,Action & Adventure,0.05017103762827822,0.049760040414246025,0.00041099721403219797,5
Canada,Anime Series,0.002280501710376283,0.008082849204344532,-0.005802347493968249,5
Canada,British TV Shows,0.0034207525655644243,0.012882040919424097,-0.009461288353859672,5
Canada,Children & Family Movies,0.09122006841505131,0.035572956133703794,0.05564711228134752,5
Canada,Classic & Cult TV,0.004561003420752566,0.0013471415340574218,0.0032138618866951437,5
Canada,Comedies,0.10718358038768529,0.08339648059274228,0.023787099794943006,5
Canada,Crime TV Shows,0.01710376282782212,0.02277511156015829,-0.005671348732336167,5
Canada,Cult Movies,0.0068415051311288486,0.003915130083354383,0.002926375047774466,5
Canada,Documentaries,0.04789053591790194,0.04698156100025259,0.0009089749176493522,5
Canada,Docuseries,0.012542759407069556,0.018354803401532373,-0.005812043994462817,5
Canada,Dramas,0.09350057012542759,0.1346720552328029,-0.04117148510737531,5
Canada,Faith & Spirituality,0.0034207525655644243,0.0037467373915972047,-0.00032598482603278045,5
Canada,Horror Movies,0.04104903078677309,0.01928096320619685,0.021768067580576242,5
Canada,Independent Movies,0.05017103762827822,0.043782099856866215,0.006388937771412008,5
Canada,International Movies,0.06841505131128849,0.14772248884398417,-0.07930743753269569,5
Canada,International TV Shows,0.028506271379703536,0.061673823356066346,-0.033167551976362813,5
Canada,Kids' TV,0.06955530216647662,0.025090511071819484,0.04446479109465714,5
Canada,Korean TV Shows,0.0011402508551881414,0.006567314978529932,-0.0054270641233417904,5
Canada,LGBTQ Movies,0.0068415051311288486,0.004883388060958154,0.0019581170701706944,5
Canada,Movies,0.005701254275940707,0.00294687210575061,0.002754382170190097,5
Canada,Music & Musicals,0.01596351197263398,0.018060116190957314,-0.0020966042183233335,5
Canada,Reality TV,0.010262257696693273,0.011366506693609498,-0.0011042489969162253,5
Canada,Romantic Movies,0.028506271379703536,0.03039488086217058,-0.001888609482467045,5
Canada,Romantic TV Shows,0.002280501710376283,0.016165698408689064,-0.013885196698312782,5
Canada,Sci-Fi & Fantasy,0.03192702394526796,0.015997305716931885,0.015929718228336075,5
Canada,Science & Nature TV,0.004561003420752566,0.004546602677443799,1.440074330876645e-05,5
Canada,Sports Movies,0.014823261117445839,0.011156015828913025,0.0036672452885328135,5
Canada,Stand-Up Comedy,0.002280501710376283,0.014481771491117285,-0.012201269780741002,5
Canada,TV Action & Adventure,0.013683010262257697,0.008588027279616064,0.005094982982641633,5
Canada,TV Comedies,0.03420752565564424,0.026521848951755495,0.007685676703888748,5
Canada,TV Dramas,0.036488027366020526,0.03586764334427886,0.0006203840217416656,5
Canada,TV Horror,0.009122006841505131,0.0036204428727793212,0.005501563968725811,5
Canada,TV Mysteries,0.010262257696693273,0.0047570935421402715,0.005505164154553001,5
Canada,TV Sci-Fi & Fantasy,0.010262257696693273,0.004251915466868738,0.0060103422298245345,5
Canada,TV Thrillers,0.005701254275940707,0.0027784794139934328,0.0029227748619472744,5
Canada,Teen TV Shows,0.002280501710376283,0.002904773932811316,-0.000624272222435033,5
Canada,Thrillers,0.055872291904218926,0.033931127389071315,0.02194116451514761,5
Cayman Islands,Children & Family Movies,0.5,0.035572956133703794,0.4644270438662962,0
Cayman Islands,Comedies,0.5,0.08339648059274228,0.4166035194072577,0
Chile,Action & Adventure,0.014285714285714285,0.049760040414246025,-0.03547432612853174,0
Chile,Children & Family Movies,0.014285714285714285,0.035572956133703794,-0.02128724184798951,0
Chile,Comedies,0.1,0.08339648059274228,0.016603519407257725,0
Chile,Crime TV Shows,0.014285714285714285,0.02277511156015829,-0.008489397274444003,0
Chile,Dramas,0.17142857142857143,0.1346720552328029,0.03675651619576853,0
Chile,Horror Movies,0.04285714285714286,0.01928096320619685,0.023576179650946008,0
Chile,Independent Movies,0.11428571428571428,0.043782099856866215,0.07050361442884806,0
Chile,International Movies,0.24285714285714285,0.14772248884398417,0.09513465401315868,0
Chile,International TV Shows,0.07142857142857142,0.061673823356066346,0.009754748072505079,0
Chile,Romantic Movies,0.014285714285714285,0.03039488086217058,-0.016109166576456294,0
Chile,Spanish-Language TV Shows,0.05714285714285714,0.008503830933737477,0.04863902620911967,0
Chile,Sports Movies,0.014285714285714285,0.011156015828913025,0.00312969845680126,0
Chile,Stand-Up Comedy,0.04285714285714286,0.014481771491117285,0.028375371366025574,0
Chile,TV Dramas,0.05714285714285714,0.03586764334427886,0.02127521379857828,0
Chile,Thrillers,0.02857142857142857,0.033931127389071315,-0.005359698817642745,0
China,Action & Adventure,0.16237113402061856,0.049760040414246025,0.11261109360637253,0
China,Anime Features,0.005154639175257732,0.003283657489264966,0.001870981685992766,0
China,Anime Series,0.005154639175257732,0.008082849204344532,-0.0029282100290868003,0
China,British TV Shows,0.007731958762886598,0.012882040919424097,-0.0051500821565374985,0
China,Children & Family Movies,0.041237113402061855,0.035572956133703794,0.005664157268358061,0
China,Comedies,0.07989690721649484,0.08339648059274228,-0.003499573376247442,0
China,Crime TV Shows,0.010309278350515464,0.02277511156015829,-0.012465833209642825,0
China,Cult Movies,0.002577319587628866,0.003915130083354383,-0.0013378104957255167,0
China,Documentaries,0.01804123711340206,0.04698156100025259,-0.028940323886850527,0
China,Docuseries,0.002577319587628866,0.018354803401532373,-0.015777483813903505,0
China,Dramas,0.08247422680412371,0.1346720552328029,-0.05219782842867919,0
China,Faith & Spirituality,0.002577319587628866,0.0037467373915972047,-0.0011694178039683388,0
China,Horror Movies,0.005154639175257732,0.01928096320619685,-0.014126324030939118,0
China,Independent Movies,0.005154639175257732,0.043782099856866215,-0.03862746068160848,0
China,International Movies,0.18298969072164947,0.14772248884398417,0.0352672018776653,0
China,International TV Shows,0.10309278350515463,0.061673823356066346,0.04141896014908829,0
China,Kids' TV,0.01804123711340206,0.025090511071819484,-0.0070492739584174235,0
China,Korean TV Shows,0.002577319587628866,0.006567314978529932,-0.003989995390901066,0
China,Music & Musicals,0.005154639175257732,0.018060116190957314,-0.012905477015699583,0
China,Reality TV,0.002577319587628866,0.011366506693609498,-0.008789187105980633,0
China,Romantic Movies,0.023195876288659795,0.03039488086217058,-0.007199004573510786,0
China,Romantic TV Shows,0.05670103092783505,0.016165698408689064,0.04053533251914598,0
China,Sci-Fi & Fantasy,0.03350515463917526,0.015997305716931885,0.01750784892224337,0
China,Sports Movies,0.002577319587628866,0.011156015828913025,-0.00857869624128416,0
China,TV Action & Adventure,0.01804123711340206,0.008588027279616064,0.009453209833785996,0
China,TV Comedies,0.030927835051546393,0.026521848951755495,0.004405986099790898,0
China,TV Dramas,0.05154639175257732,0.03586764334427886,0.015678748408298457,0
China,TV Mysteries,0.002577319587628866,0.0047570935421402715,-0.0021797739545114055,0
China,TV Sci-Fi & Fantasy,0.007731958762886598,0.004251915466868738,0.00348004329601786,0
China,Teen TV Shows,0.01288659793814433,0.002904773932811316,0.009981824005333014,0
China,Thrillers,0.015463917525773196,0.033931127389071315,-0.01846720986329812,0
Colombia,Action & Adventure,0.007142857142857143,0.049760040414246025,-0.04261718327138888,0
Colombia,Comedies,0.05714285714285714,0.08339648059274228,-0.02625362344988514,0
Colombia,Crime TV Shows,0.12857142857142856,0.02277511156015829,0.10579631701127026,0
Colombia,Documentaries,0.02142857142857143,0.04698156100025259,-0.02555298957168116,0
Colombia,Docuseries,0.007142857142857143,0.018354803401532373,-0.011211946258675231,0
Colombia,Dramas,0.05,0.1346720552328029,-0.0846720552328029,0
Colombia,Independent Movies,0.02142857142857143,0.043782099856866215,-0.022353528428294786,0
Colombia,International Movies,0.10714285714285714,0.14772248884398417,-0.040579631701127036,0
Colombia,International TV Shows,0.22142857142857142,0.061673823356066346,0.15975474807250506,0
Colombia,Romantic Movies,0.014285714285714285,0.03039488086217058,-0.016109166576456294,0
Colombia,Romantic TV Shows,0.03571428571428571,0.016165698408689064,0.019548587305596648,0
Colombia,Sci-Fi & Fantasy,0.007142857142857143,0.015997305716931885,-0.008854448574074743,0
Colombia,Spanish-Language TV Shows,0.21428571428571427,0.008503830933737477,0.2057818833519768,0
Colombia,Stand-Up Comedy,0.02857142857142857,0.014481771491117285,0.014089657080311286,0
Colombia,Stand-Up Comedy & Talk Shows,0.007142857142857143,0.0023574976846004883,0.004785359458256654,0
Colombia,TV Action & Adventure,0.007142857142857143,0.008588027279616064,-0.0014451701367589219,0
Colombia,TV Comedies,0.007142857142857143,0.026521848951755495,-0.019378991808898353,0
Colombia,TV Dramas,0.05714285714285714,0.03586764334427886,0.02127521379857828,0
Croatia,Comedies,0.1111111111111111,0.08339648059274228,0.027714630518368824,0
Croatia,Dramas,0.2222222222222222,0.1346720552328029,0.08755016698941931,0
Croatia,Independent Movies,0.2222222222222222,0.043782099856866215,0.178440122365356,0
Croatia,International Movies,0.2222222222222222,0.14772248884398417,0.07449973337823804,0
Croatia,International TV Shows,0.1111111111111111,0.061673823356066346,0.04943728775504476,0
Croatia,TV Dramas,0.1111111111111111,0.03586764334427886,0.07524346776683224,0
Cuba,Crime TV Shows,0.3333333333333333,0.02277511156015829,0.31055822177317505,0
Cuba,International TV Shows,0.3333333333333333,0.061673823356066346,0.27165950997726696,0
Cuba,Spanish-Language TV Shows,0.3333333333333333,0.008503830933737477,0.32482950239959585,0
Cyprus,Kids' TV,0.5,0.025090511071819484,0.4749094889281805,0
Cyprus,TV Comedies,0.5,0.026521848951755495,0.47347815104824453,0
Czech Republic,Action & Adventure,0.09803921568627451,0.049760040414246025,0.048279175272028484,0
Czech Republic,British TV Shows,0.0196078431372549,0.012882040919424097,0.006725802217830805,0
Czech Republic,Children & Family Movies,0.0196078431372549,0.035572956133703794,-0.015965112996448892,0
Czech Republic,Comedies,0.058823529411764705,0.08339648059274228,-0.024572951180977576,0
Czech Republic,Crime TV Shows,0.0392156862745098,0.02277511156015829,0.016440574714351515,0
Czech Republic,Cult Movies,0.0196078431372549,0.003915130083354383,0.01569271305390052,0
Czech Republic,Documentaries,0.0196078431372549,0.04698156100025259,-0.027373717862997686,0
Czech Republic,Docuseries,0.0784313725490196,0.018354803401532373,0.060076569147487234,0
Czech Republic,Dramas,0.13725490196078433,0.1346720552328029,0.002582846727981425,0
